artist_name,track_name,release_date,genre
faith evans,you used to love me,1995,pop
van morrison,days like this,1995,pop
the smashing pumpkins,zero,1995,pop
selena,i could fall in love,1995,pop
jewel,foolish games,1995,pop
ace of base,beautiful life,1995,pop
jodeci,get on up,1995,pop
björk,it's oh so quiet,1995,pop
enrique iglesias,si tú te vas,1995,pop
the smashing pumpkins,"tonight, tonight",1995,pop
the presidents of the united states of america,lump,1995,pop
bone thugs-n-harmony,tha crossroads,1995,pop
mariah carey,fantasy,1995,pop
the smashing pumpkins,bullet with butterfly wings,1995,pop
montell jordan,this is how we do it,1995,pop
better than ezra,good,1995,pop
xscape,who can i run to,1995,pop
raekwon,"ice cream (feat. ghostface killah, method man & cappadonna)",1995,pop
michael jackson,you are not alone,1995,pop
jodeci,freek'n you,1995,pop
rancid,time bomb,1995,pop
collective soul,the world i know,1995,pop
seven mary three,cumbersome,1995,pop
brotha lynch hung,rest in piss,1995,pop
blind melon,toes across the floor,1995,pop
pavement,grave architecture,1995,pop
bone thugs-n-harmony,buddah lovaz,1995,pop
mike & the mechanics,over my shoulder,1995,pop
michael jackson,stranger in moscow,1995,pop
blessid union of souls,i believe,1995,pop
blind melon,mouthful of cavities,1995,pop
newsong,when god made you,1995,pop
green day,stuck with me,1995,pop
no doubt,different people,1995,pop
lagwagon,violins,1995,pop
big l,mvp,1995,pop
jewel,hands,1995,pop
ll cool j,loungin (who do ya luv),1995,pop
björk,hyper-ballad,1995,pop
elastica,connection,1995,pop
ice cube,friday,1995,pop
seven mary three,water's edge,1995,pop
mack 10,foe life,1995,pop
whitney houston,count on me,1995,pop
green day,jaded,1995,pop
mary j. blige,not gon' cry,1995,pop
the corrs,runaway,1995,pop
no doubt,excuse me mr.,1995,pop
rancid,maxwell murder,1995,pop
guided by voices,game of pricks,1995,pop
green day,walking contradiction,1995,pop
modest mouse,breakthrough,1996,pop
lil' kim,not tonight,1996,pop
pet shop boys,se a vida e (that's the way life is),1996,pop
stone temple pilots,lady picture show,1996,pop
silver jews,pet politics,1996,pop
blind melon,soup,1996,pop
belle & sebastian,the state i am in,1996,pop
the shangri-las,remember (walkin' in the sand),1996,pop
social distortion,dear lover,1996,pop
superdrag,sucked out,1996,pop
cake,friend is a four letter word,1996,pop
belle & sebastian,"get me away from here, i'm dying",1996,pop
babyface,"this is for the lover in you (feat. ll cool j, howard hewett, jody watley & jeffrey daniels)",1996,pop
eels,my beloved monster,1996,pop
ginuwine,only when ur lonely,1996,pop
counting crows,goodnight elisabeth,1996,pop
fiona apple,never is a promise,1996,pop
cake,frank sinatra,1996,pop
dave matthews band,let you down,1996,pop
descendents,everything sux,1996,pop
matchbox twenty,shame,1996,pop
weezer,getchoo,1996,pop
fiona apple,sullen girl,1996,pop
swv,use your heart,1996,pop
dave matthews band,proudest monkey,1996,pop
blind melon,soul one,1996,pop
silver jews,ballad of reverend war character,1996,pop
social distortion,through these eyes,1996,pop
outkast,e.t. (extraterrestrial),1996,pop
soul coughing,soft serve,1996,pop
foxy brown,ill na na,1996,pop
cake,sad songs and waltzes,1996,pop
fiona apple,pale september,1996,pop
busta rhymes,ill vibe (feat. q-tip),1996,pop
spice girls,naked,1996,pop
jennifer love hewitt,cool with you,1996,pop
blackstreet,let's stay in love,1996,pop
phish,billy breathes,1996,pop
céline dion,(you make me feel like) a natural woman,1996,pop
nofx,philthy phil philanthropist,1996,pop
mc lyte,"keep on, keepin' on (feat. xscape)",1996,pop
sponge,wax ecstatic (to sell angelina),1996,pop
outkast,wailin',1996,pop
spice girls,something kinda funny,1996,pop
faith evans,kissing you,1996,pop
céline dion,falling into you,1996,pop
dave matthews band,cry freedom,1996,pop
nancy sinatra,wait 'till you see him,1996,pop
the lemonheads,the outdoor type,1996,pop
hootie & the blowfish,when i'm lonely,1996,pop
sheryl crow,home,1996,pop
social distortion,under my thumb,1996,pop
millencolin,bullion,1996,pop
phish,character zero,1996,pop
the penguins,earth angel (will you be mine),1996,pop
leann rimes,blue,1996,pop
maxwell,sumthin' sumthin',1996,pop
donell jones,knocks me off my feet,1996,pop
dave matthews band,two step,1996,pop
dave matthews band,so much to say,1996,pop
the wallflowers,6th avenue heartache,1996,pop
local h,bound for the floor,1996,pop
republica,ready to go,1996,pop
phish,waste,1996,pop
beck,devils haircut,1996,pop
barenaked ladies,the old apartment,1996,pop
blackstreet,we gonna take u back (lude)/ don't leave me,1996,pop
stone temple pilots,trippin' on a hole in a paper heart,1996,pop
bryan adams,have you ever really loved a woman?,1996,pop
702,steelo,1996,pop
tonic,if you could only see,1996,pop
backstreet boys,as long as you love me,1996,pop
the cardigans,lovefool,1996,pop
céline dion,"because you loved me (theme from ""up close and personal"")",1996,pop
backstreet boys,quit playing games (with my heart),1996,pop
spice girls,say you'll be there,1996,pop
toni braxton,un-break my heart,1996,pop
backstreet boys,i'll never break your heart,1996,pop
fiona apple,sleep to dream,1996,pop
112,pleasure & pain,1996,pop
